ID,Deformation(mm)_mean,Deformation(mm)_std,Deformation(mm)_skew,Deformation(mm)_kurt,Deformation(mm)_last,Deformation(mm)_diff,Force applied (N)_mean,Force applied (N)_std,Force applied (N)_skew,Force applied (N)_kurt,Force applied (N)_last,Force applied (N)_diff,label
"PC_0,3_III_1",0.00107608788027,0.001590146895959261,1.3338673092594617,0.5669790782543442,0.00435606,0.00435606,10.88485,0.2338231062149336,0.6334114620872555,-0.11023403498967177,11.0098,0.3000000000000007,92.7666
"PC_0,3_III_1",0.0058485624401349995,0.005534797863013429,0.40304220368945104,-1.354948864132659,0.015454,0.015454,10.87842,0.18922261909969273,0.6820887745941537,0.329045179635564,10.7037,-0.006099999999999994,92.7666
"PC_0,3_III_1",0.011148518293423334,0.00906209904102922,0.22257460488677963,-1.3038171448007319,0.0271041,0.0271041,10.919403333333332,0.28216967197345855,0.594271912707672,-0.12755303837933107,11.2835,0.5737000000000005,92.7666
"PC_0,3_III_1",0.0168035687200675,0.012755702546237861,0.18080817001609062,-1.2595073401280632,0.0390975,0.0390975,11.054124999999999,0.35876805359737823,0.39819571180795255,-0.6616880454936158,11.6472,0.9374000000000002,92.7666
"PC_0,3_III_1",0.022617786976054,0.01642903151567508,0.14114463711243352,-1.2676296131070546,0.051075,0.051075,11.217526,0.4710244994754757,0.3555061805188462,-0.9562859462972555,11.7058,0.9960000000000004,92.7666
"PC_0,3_III_1",0.028433287480045002,0.01995027701403789,0.09804127273770252,-1.2813666867478808,0.0627575,0.0627575,11.329481666666664,0.5003120211145753,0.001675782101033802,-1.3429432543443782,11.7423,1.0325000000000006,92.7666
"PC_0,3_III_1",0.034233422125752866,0.0233820527743148,0.06679222890249673,-1.2777580087870113,0.0744229,0.0744229,11.44664142857143,0.5493716063667539,-0.10692967663464598,-1.2949646496352152,12.3988,1.689,92.7666
"PC_0,3_III_1",0.04000182561003375,0.026732977264136655,0.04176924002994792,-1.2731493758492425,0.0854473,0.0854473,11.572958750000002,0.6201475630222764,-0.03256712952357768,-1.0372325418727666,12.7664,2.0566000000000013,92.7666
"PC_0,3_III_1",0.04571817832003001,0.02999784400172291,0.020835004417684315,-1.266870248569341,0.0964413,0.0964413,11.698281111111111,0.6852438617664803,-0.0642429115577112,-1.1184330449756956,12.8382,2.128400000000001,92.7666
"PC_0,3_III_1",0.05144937448802699,0.03329756999304673,0.012541650382623464,-1.2499313932200928,0.10841,0.10841,11.805653,0.7263886313319357,-0.16521621602925418,-1.19593908607525,12.8934,2.1836,92.7666
"PC_0,3_III_1",0.057184740443660904,0.036604467982746636,0.007854944597441653,-1.2375805725448161,0.119404,0.119404,11.910587272727273,0.7752219109472314,-0.14726032418191226,-1.0467561639221734,13.1057,2.395900000000001,92.7666
"PC_0,3_III_1",0.06286202874002249,0.03982067152866831,-0.001549583412556025,-1.2353871776534193,0.130421,0.130421,12.026895833333334,0.8374936458202029,-0.1314508706372871,-1.0567269209902883,13.24,2.5302000000000007,92.7666
"PC_0,3_III_1",0.06852432652925154,0.043027402586350245,-0.007770038440543686,-1.2302028063156158,0.141766,0.141766,12.148944615384615,0.9126519883244031,-0.05478330254758772,-0.9742444017752572,13.4691,2.7592999999999996,92.7666
"PC_0,3_III_1",0.07419707463430501,0.046263906178198734,-0.009618650384398233,-1.2219780065099826,0.153448,0.153448,12.243485714285715,0.9441208658274918,-0.14429057134688458,-1.0676054360135365,13.2449,2.5351,92.7666
"PC_0,3_III_1",0.07988937632535134,0.04953872290587579,-0.008423898008319906,-1.2134130421605822,0.164442,0.164442,12.339868666666668,0.9816789177057889,-0.19631584314467454,-1.1072610187889076,13.6904,2.980600000000001,92.7666
"PC_0,3_III_1",0.08556876530501686,0.052794872684548834,-0.00855672859218622,-1.2091449331638822,0.176058,0.176058,12.44140375,1.029517143759163,-0.2043617164630666,-1.1035445646319624,13.9566,3.2468000000000004,92.7666
"PC_0,3_III_1",0.09125142616942765,0.05605996717877397,-0.00808026503845432,-1.2055877640366275,0.187082,0.187082,12.533821176470589,1.0657636150749108,-0.24053303516928262,-1.1143325118184482,14.2262,3.516400000000001,92.7666
"PC_0,3_III_1",0.09690868027112612,0.0592863393450785,-0.00965022688627599,-1.2054007129600872,0.198422,0.198422,12.641401111111112,1.127354311611648,-0.1930524568496792,-1.059840248035618,14.2878,3.578000000000001,92.7666
"PC_0,3_III_1",0.10257701815159316,0.06253719815585636,-0.009430475864967364,-1.2031172824921879,0.209774,0.209774,12.736483157894734,1.1703747758778549,-0.20500087910388823,-1.0636959238426218,14.6517,3.9419000000000004,92.7666
"PC_0,3_III_1",0.10823908724401349,0.06578039300659184,-0.009602677376867163,-1.2020331969798488,0.220784,0.220784,12.836376500000002,1.2216623096386776,-0.19425119820209474,-1.0561982636274854,14.7373,4.0275,92.7666
"PC_0,3_III_1",0.11389655451810808,0.06902008664095909,-0.009760408239173199,-1.2011111075639405,0.232104,0.232104,12.938752857142857,1.2776897163286136,-0.17208761812319323,-1.0422956044130998,15.0097,4.299900000000001,92.7666
