ID,Deformation(mm)_mean,Deformation(mm)_std,Deformation(mm)_skew,Deformation(mm)_kurt,Deformation(mm)_last,Deformation(mm)_diff,Force applied (N)_mean,Force applied (N)_std,Force applied (N)_skew,Force applied (N)_kurt,Force applied (N)_last,Force applied (N)_diff,label
"PETG_0,1_III_4",0.00092023686950422,0.0014115070285076437,1.4141336732128655,0.8098573425136912,0.00388,0.00388,10.548509999999998,0.3062325312931698,1.1346778282504835,2.3629880141541513,10.1646,-0.42019999999999946,81.8178
"PETG_0,1_III_4",0.00553237293475211,0.0054222570043073095,0.5070015307517081,-1.1991434506823642,0.0153317,0.0153317,10.54665,0.26152555374792336,0.9404568080550422,1.2869039536168874,10.4072,-0.17759999999999998,81.8178
"PETG_0,1_III_4",0.01084248528983474,0.009000523755563657,0.23425715943214037,-1.364822111601577,0.0263486,0.0263486,10.590263333333333,0.24047669681830647,0.5369558305169337,0.5401414636636956,10.7788,0.19400000000000084,81.8178
"PETG_0,1_III_4",0.016203636467376055,0.012305476338859304,0.1305543809960467,-1.3219135261934596,0.0373578,0.0373578,10.676287499999999,0.2851838598909618,0.48679169118372784,-0.1313286096649402,11.3508,0.766,81.8178
"PETG_0,1_III_4",0.021662377173900838,0.01563183642630626,0.09466394124086303,-1.2781876177609677,0.0486951,0.0486951,10.86852,0.4679838450028735,0.6703068908843804,-0.6928916051966172,11.3807,0.7958999999999996,81.8178
"PETG_0,1_III_4",0.027212427644917374,0.0190116954624797,0.08173016756895721,-1.251000086258668,0.0600425,0.0600425,11.0365,0.5734696052412832,0.3718050469693055,-1.3130053020309742,11.9129,1.328100000000001,81.8178
"PETG_0,1_III_4",0.03286344369564346,0.02247495034712867,0.08049806961992104,-1.2313135936530206,0.0719863,0.0719863,11.214857142857143,0.6943616297861329,0.3220016679666856,-1.1960795985995185,12.619,2.0342000000000002,81.8178
"PETG_0,1_III_4",0.03853369573368802,0.025891052452659345,0.06933158005500535,-1.2366007363500766,0.0830032,0.0830032,11.350538750000002,0.7441954681456642,0.08094611249442132,-1.4542169134854792,12.3148,1.7300000000000004,81.8178
"PETG_0,1_III_4",0.04419617287438936,0.029250073809680453,0.056025328505703666,-1.2414133865434063,0.0943576,0.0943576,11.439254444444444,0.7501348687966181,-0.11050174448958684,-1.4562906174366759,12.6326,2.0478000000000005,81.8178
"PETG_0,1_III_4",0.04985185358695043,0.032573821560506144,0.04458584839285916,-1.2416414070517925,0.106015,0.106015,11.568443,0.8113402126466898,-0.14867969374068638,-1.3746697970622141,12.9048,2.3200000000000003,81.8178
"PETG_0,1_III_4",0.05551669416995492,0.03589569447864418,0.03666389847572934,-1.2386541927891532,0.117032,0.117032,11.705411818181819,0.8888767794948322,-0.10302258756108516,-1.224712915847458,13.1635,2.5787000000000013,81.8178
"PETG_0,1_III_4",0.06118138632245869,0.039205352726471215,0.030347946838931314,-1.2351523589079139,0.12869,0.12869,11.81546666666667,0.9273575531134292,-0.19009038826788371,-1.2489529826788834,12.7818,2.197000000000001,81.8178
"PETG_0,1_III_4",0.06689827968226957,0.04259239203881417,0.031482420875518155,-1.2239288256789496,0.140987,0.140987,11.91857,0.9628411350080376,-0.24744154430429743,-1.2119542626232582,13.2394,2.6546000000000003,81.8178
"PETG_0,1_III_4",0.07264084541925031,0.04600160198568859,0.03275849652544659,-1.2173118453119018,0.152324,0.152324,12.045552857142857,1.0383476555242879,-0.15873688159555682,-1.0507919230889904,13.9478,3.3630000000000013,81.8178
"PETG_0,1_III_4",0.07838300905796695,0.04939180970747872,0.03185575056431661,-1.2156530488265698,0.163695,0.163695,12.167139333333335,1.102917146449559,-0.14300236772492256,-1.0453319891236887,14.0377,3.4528999999999996,81.8178
"PETG_0,1_III_4",0.084106183491844,0.052737154407184655,0.028210671036000588,-1.2178697084970325,0.175023,0.175023,12.28253625,1.1589391751225118,-0.1532616662137129,-1.0633178534126244,13.832,3.247200000000001,81.8178
"PETG_0,1_III_4",0.08980587269820614,0.05603661932922009,0.022828574156046968,-1.2215914581674148,0.186032,0.186032,12.403951764705884,1.2260329116707374,-0.13025660114781049,-1.0503748968525568,14.2007,3.6159,81.8178
"PETG_0,1_III_4",0.09549205754830581,0.059312513532932404,0.01757526476425024,-1.2240751065213298,0.197347,0.197347,12.518086666666667,1.281651027220522,-0.14356885839183603,-1.0783864927965934,14.5622,3.977400000000001,81.8178
"PETG_0,1_III_4",0.10117671767734232,0.06258737349250487,0.013619734551296706,-1.2242103422691075,0.208675,0.208675,12.62581315789474,1.3292518337984875,-0.16964369406715826,-1.1038017776255968,14.8196,4.2348,81.8178
"PETG_0,1_III_4",0.10687082179347522,0.06587890887785626,0.011398740544687879,-1.222189929028774,0.220325,0.220325,12.748137000000002,1.4019305528112038,-0.12844138859604695,-1.0620513409271763,15.0985,4.5137,81.8178
"PETG_0,1_III_4",0.11257089694616686,0.06917966228974834,0.010063827123695234,-1.2196373823968802,0.231695,0.231695,12.878096666666668,1.4886893233553096,-0.056210502893775445,-0.9819040523893738,15.6347,5.049900000000001,81.8178
"PETG_0,1_III_4",0.1182882607213411,0.07250781721510176,0.010175601691315303,-1.2159294788657504,0.243368,0.243368,13.005097727272728,1.567437577513441,-0.027237398813820424,-0.9874351847604461,15.8179,5.2331,81.8178
"PETG_0,1_III_4",0.12400196242910888,0.07582648195042116,0.00979762350795821,-1.2137119442427706,0.255034,0.255034,13.126941739130434,1.6385995835448848,-0.013726725945782442,-0.9941848563659663,16.3271,5.742300000000002,81.8178
"PETG_0,1_III_4",0.12972213066122934,0.07915332179420496,0.009755538369380099,-1.2116186972500573,0.266346,0.266346,13.257815833333334,1.7235887059503603,0.018544408896796618,-0.9895290866846782,16.5915,6.0067,81.8178
"PETG_0,1_III_4",0.13545059343478016,0.08249148696874788,0.010128624305505003,-1.2094125382588943,0.278324,0.278324,13.384315200000001,1.799516900166514,0.02444303745958266,-1.021085130779304,16.3428,5.758000000000001,81.8178
"PETG_0,1_III_4",0.14118414753344247,0.08583458645628203,0.010540574555962367,-1.2076465116301192,0.289974,0.289974,13.510307307692308,1.8746419965621641,0.02890900582199492,-1.044352816395653,17.0639,6.479100000000001,81.8178
