ID,Deformation(mm)_mean,Deformation(mm)_std,Deformation(mm)_skew,Deformation(mm)_kurt,Deformation(mm)_last,Deformation(mm)_diff,Force applied (N)_mean,Force applied (N)_std,Force applied (N)_skew,Force applied (N)_kurt,Force applied (N)_last,Force applied (N)_diff,label
"PLA_0,3_III_2",0.0009538492049999999,0.0014589777496290435,1.3954701653093298,0.7510976307533923,0.00400255,0.00400255,10.723650000000001,0.16783818430592942,-0.06329216409867734,-0.33005142298465184,10.5913,-0.37950000000000017,98.9823
"PLA_0,3_III_2",0.005603346602500001,0.005445029413300476,0.4800457016745972,-1.2319388601040533,0.0155287,0.0155287,10.951245,0.32744130767770296,0.5161748376807163,-0.6851089467337315,11.3362,0.3653999999999993,98.9823
"PLA_0,3_III_2",0.010897081068333335,0.009001146057591093,0.2342094693450701,-1.340038906218968,0.0265627,0.0265627,11.093516666666668,0.3900220516164776,0.5089515470059846,-0.3203944802555294,11.7835,0.8126999999999995,98.9823
"PLA_0,3_III_2",0.016470410801249998,0.012588871587229178,0.16310959955501972,-1.3063829840234236,0.0382369,0.0382369,11.264115,0.46389328765712184,0.15057397188549954,-0.9893251721212706,11.4948,0.5239999999999991,98.9823
"PLA_0,3_III_2",0.022069518641000006,0.016009856924270555,0.10805149201366426,-1.2950127156969016,0.0495494,0.0495494,11.301565999999998,0.42633961532552694,-0.0704563913708606,-0.7332479944112569,11.6283,0.6574999999999989,98.9823
"PLA_0,3_III_2",0.027688307200833335,0.01937358291294664,0.07635238512677112,-1.2753476564744357,0.0612071,0.0612071,11.436185000000002,0.5154588095546118,0.24253272098299974,-0.2583583426320373,12.4466,1.4757999999999996,98.9823
"PLA_0,3_III_2",0.03335583474357143,0.022757150456248904,0.06012238426400925,-1.2600164071816449,0.0721992,0.0721992,11.559852857142856,0.5748471344933334,0.1227120747352565,-0.7157675721540864,12.2061,1.2352999999999987,98.9823
"PLA_0,3_III_2",0.038997510400625005,0.02606364200859873,0.04310226056307917,-1.2539322979331773,0.0835288,0.0835288,11.702365,0.6730086579652615,0.2677998414128306,-0.560682341348191,13.1268,2.155999999999999,98.9823
"PLA_0,3_III_2",0.044614789244999994,0.029315634404833306,0.02810295604822602,-1.2499429654256213,0.0948833,0.0948833,11.848048888888888,0.7582515101463372,0.17430934068170656,-0.9697987993737307,12.9624,1.9916,98.9823
"PLA_0,3_III_2",0.0502793043205,0.03263915793223343,0.025465470801547242,-1.2352140137530654,0.106253,0.106253,11.996326999999999,0.8531597832342326,0.19411558837530446,-0.9656052701218156,13.4875,2.5167,98.9823
