ID,Compression(%)_mean,Compression(%)_std,Compression(%)_skew,Compression(%)_kurt,Compression(%)_last,Compression(%)_diff,Deflection at standard load(%)_mean,Deflection at standard load(%)_std,Deflection at standard load(%)_skew,Deflection at standard load(%)_kurt,Deflection at standard load(%)_last,Deflection at standard load(%)_diff,Force applied (N)_mean,Force applied (N)_std,Force applied (N)_skew,Force applied (N)_kurt,Force applied (N)_last,Force applied (N)_diff,label
"PETG_0,3_III_1",0.0041519682999999995,0.0033247599804948342,0.6820784902419709,-0.7071471050927709,0.0098016,0.0098016,0.0041519682999999995,0.0033247599804948342,0.6820784902419709,-0.7071471050927709,0.0098016,0.0098016,135.7319,0.28499296287608644,0.5224479077786496,-0.9731521118189868,135.99,0.5020000000000095,47.9423
"PETG_0,3_III_1",0.009879470650000001,0.007836798080199055,0.7887363303835186,-0.27282226422534617,0.0264865,0.0264865,0.009879470650000001,0.007836798080199055,0.7887363303835186,-0.27282226422534617,0.0264865,0.0264865,137.71959999999999,2.692463172792174,1.1485947634198397,0.08862962903404137,143.856,8.367999999999995,47.9423
"PETG_0,3_III_1",0.021121560433333332,0.017951545300827394,0.5828530281946932,-1.1332901896804701,0.0548536,0.0548536,0.021121560433333332,0.017951545300827394,0.5828530281946932,-1.1332901896804701,0.0548536,0.0548536,141.83553333333333,6.589632006539457,0.7070729667693982,-0.9254374955145832,155.231,19.742999999999995,47.9423
"PETG_0,3_III_1",0.032609692824999995,0.025766010545870455,0.3263221881825329,-1.316245614627594,0.0798274,0.0798274,0.032609692824999995,0.025766010545870455,0.3263221881825329,-1.316245614627594,0.0798274,0.0798274,146.6987,10.387675523402105,0.4714261932949487,-1.2061318411706385,166.52,31.03200000000001,47.9423
"PETG_0,3_III_1",0.04432381226,0.03313579529734326,0.1913948771150751,-1.3687722984296657,0.102964,0.102964,0.04432381226,0.03313579529734326,0.1913948771150751,-1.3687722984296657,0.102964,0.102964,151.84022000000002,13.991890555531057,0.32782011144254813,-1.3118651986720562,177.318,41.83000000000001,47.9423
"PETG_0,3_III_1",0.05715441021666666,0.041997908190336074,0.22698400676792446,-1.2053639957657203,0.134781,0.134781,0.05715441021666666,0.041997908190336074,0.22698400676792446,-1.2053639957657203,0.134781,0.134781,157.16216666666665,17.563439553652422,0.2549351820689584,-1.3087653903082195,188.949,53.46100000000001,47.9423
"PETG_0,3_III_1",0.07024502304285715,0.05057695126297592,0.19522075312196083,-1.249539812359523,0.160032,0.160032,0.07024502304285715,0.05057695126297592,0.19522075312196083,-1.249539812359523,0.160032,0.160032,162.55168571428572,21.025409197653644,0.19784619522293032,-1.315550909938119,200.004,64.51599999999999,47.9423
"PETG_0,3_III_1",0.08340033266249999,0.05892122499254187,0.1658178130719901,-1.2593746694006016,0.190555,0.190555,0.08340033266249999,0.05892122499254187,0.1658178130719901,-1.2593746694006016,0.190555,0.190555,167.98694999999998,24.42969032425996,0.15762521150104167,-1.3107052317277994,211.046,75.55799999999999,47.9423
"PETG_0,3_III_1",0.09744658458888886,0.06848056331452272,0.19243937416580542,-1.1935689310584396,0.226028,0.226028,0.09744658458888886,0.06848056331452272,0.19243937416580542,-1.1935689310584396,0.226028,0.226028,173.49375555555557,27.863678819886257,0.13551921191549818,-1.2913756828417637,222.805,87.31700000000001,47.9423
"PETG_0,3_III_1",0.11281916613,0.07987242304782341,0.26124642024429134,-1.0892465753366496,0.268883,0.268883,0.11281916613,0.07987242304782341,0.26124642024429134,-1.0892465753366496,0.268883,0.268883,179.05335999999997,31.305582891751484,0.11960130199520258,-1.2783276989951093,234.033,98.54499999999999,47.9423
"PETG_0,3_III_1",0.12886046920909092,0.09167709841056138,0.29225476964528163,-1.080345969690455,0.308744,0.308744,0.12886046920909092,0.09167709841056138,0.29225476964528163,-1.080345969690455,0.308744,0.308744,184.6337909090909,34.719811185724986,0.10529958823454086,-1.2709421570573263,245.754,110.26599999999999,47.9423
"PETG_0,3_III_1",0.14577148010833335,0.10432142998575512,0.31823225500792507,-1.0748304517591771,0.350592,0.350592,0.14577148010833335,0.10432142998575512,0.31823225500792507,-1.0748304517591771,0.350592,0.350592,190.27384166666664,38.184547238796256,0.09818671872153525,-1.2587462708132569,257.681,122.19299999999998,47.9423
"PETG_0,3_III_1",0.16280416625384617,0.11641596052754519,0.30585464936325757,-1.1330780752696294,0.379362,0.379362,0.16280416625384617,0.11641596052754519,0.30585464936325757,-1.1330780752696294,0.379362,0.379362,195.9933846153846,41.73240052157058,0.09734812412708596,-1.244090201463538,269.882,134.394,47.9423
"PETG_0,3_III_1",0.1796416543785714,0.12765564444794933,0.27297986905298754,-1.2019748525301612,0.413018,0.413018,0.1796416543785714,0.12765564444794933,0.27297986905298754,-1.2019748525301612,0.413018,0.413018,201.7504857142857,45.28994557635444,0.09538465763601216,-1.2367967512830562,282.046,146.558,47.9423
"PETG_0,3_III_1",0.19621004408666667,0.13811149064916003,0.2317381057066317,-1.2639334711973365,0.439444,0.439444,0.19621004408666667,0.13811149064916003,0.2317381057066317,-1.2639334711973365,0.439444,0.439444,207.5325,48.840776294303524,0.0917610662819177,-1.2350418236833465,293.459,157.971,47.9423
"PETG_0,3_III_1",0.21227817883125,0.14756598353463293,0.18341470779016272,-1.319466859396398,0.465711,0.465711,0.21227817883125,0.14756598353463293,0.18341470779016272,-1.319466859396398,0.465711,0.465711,213.35080625,52.4144716245352,0.08948027715452324,-1.231761190981533,306.533,171.04500000000002,47.9423
"PETG_0,3_III_1",0.22818169772352942,0.1567235448385707,0.14313568201189858,-1.3490682498218824,0.49605,0.49605,0.22818169772352942,0.1567235448385707,0.14313568201189858,-1.3490682498218824,0.49605,0.49605,219.22764705882352,56.04733341981872,0.08969256911064055,-1.226621197896046,318.836,183.348,47.9423
"PETG_0,3_III_1",0.24408207007222227,0.16588420178248114,0.11340468042186427,-1.3569191229232724,0.529966,0.529966,0.24408207007222227,0.16588420178248114,0.11340468042186427,-1.3569191229232724,0.529966,0.529966,225.13721666666663,59.69536997413988,0.08946061245948798,-1.2236469521055233,331.475,195.98700000000002,47.9423
"PETG_0,3_III_1",0.2601360190157895,0.1753021750395308,0.09516481784281562,-1.3476663931325523,0.565331,0.565331,0.2601360190157895,0.1753021750395308,0.09516481784281562,-1.3476663931325523,0.565331,0.565331,231.1143,63.42067803594624,0.09202894936143942,-1.2175800561485433,344.545,209.05700000000002,47.9423
"PETG_0,3_III_1",0.276318493065,0.18491084083612572,0.0840224761065622,-1.331859950577475,0.599506,0.599506,0.276318493065,0.18491084083612572,0.0840224761065622,-1.331859950577475,0.599506,0.599506,237.189965,67.27453165366425,0.09898652594437778,-1.2064347938863837,359.307,223.81900000000002,47.9423
"PETG_0,3_III_1",0.2926717172047619,0.19477167650385668,0.07912691396195967,-1.311601856983346,0.63772,0.63772,0.2926717172047619,0.19477167650385668,0.07912691396195967,-1.311601856983346,0.63772,0.63772,243.4017142857143,71.31389568059551,0.11127984477773445,-1.1898768466514427,374.537,239.04899999999998,47.9423
"PETG_0,3_III_1",0.3093005255136364,0.20504360369653613,0.08108113444174336,-1.2867366576100063,0.674413,0.674413,0.3093005255136364,0.20504360369653613,0.08108113444174336,-1.2867366576100063,0.674413,0.674413,249.74758181818183,75.52477567667142,0.12644227664903707,-1.1722686984387667,389.775,254.28699999999998,47.9423
"PETG_0,3_III_1",0.3259213200565217,0.21521035065009628,0.08025873113372711,-1.272362537670639,0.708253,0.708253,0.3259213200565217,0.21521035065009628,0.08025873113372711,-1.272362537670639,0.708253,0.708253,256.1795260869565,79.81194377093537,0.13934002428145872,-1.161577845929035,405.248,269.76,47.9423
"PETG_0,3_III_1",0.34264484838750003,0.22548033278501553,0.08048066483330699,-1.259993664359074,0.744103,0.744103,0.34264484838750003,0.22548033278501553,0.08048066483330699,-1.259993664359074,0.744103,0.744103,262.7645708333333,84.29648192500207,0.15528149133765543,-1.1474290376581289,422.115,286.627,47.9423
"PETG_0,3_III_1",0.359522426452,0.23594076694771346,0.08268485927428906,-1.247542570679947,0.779424,0.779424,0.359522426452,0.23594076694771346,0.08268485927428906,-1.247542570679947,0.779424,0.779424,269.489412,88.9442148405881,0.17175004066487354,-1.1343867587575607,437.35,301.862,47.9423
"PETG_0,3_III_1",0.3763972562038462,0.24630839152480966,0.08254640177089707,-1.241481970377134,0.809349,0.809349,0.3763972562038462,0.24630839152480966,0.08254640177089707,-1.241481970377134,0.809349,0.809349,276.3127115384615,93.67374974692783,0.1854674186040187,-1.1274148487402824,452.861,317.373,47.9423
"PETG_0,3_III_1",0.3927977467148149,0.2557985203522208,0.07125577436581708,-1.2526191519127243,0.827348,0.827348,0.3927977467148149,0.2557985203522208,0.07125577436581708,-1.2526191519127243,0.827348,0.827348,283.0877740740741,98.21838015166973,0.18824228033963028,-1.1390658785469512,464.432,328.944,47.9423
"PETG_0,3_III_1",0.40871634504642856,0.26449040614480207,0.05291120037221686,-1.270783523718056,0.847254,0.847254,0.40871634504642856,0.26449040614480207,0.05291120037221686,-1.270783523718056,0.847254,0.847254,289.80006071428573,102.57851666558507,0.18353867878458707,-1.1598017476120523,476.333,340.845,47.9423
"PETG_0,3_III_1",0.4243089262517241,0.2727033543351583,0.032619726559586906,-1.287768441097243,0.870657,0.870657,0.4243089262517241,0.2727033543351583,0.032619726559586906,-1.287768441097243,0.870657,0.870657,296.47916551724137,106.82733049589456,0.17560251661973553,-1.181482584684639,488.994,353.50600000000003,47.9423
"PETG_0,3_III_1",0.4395862053766667,0.28048590608856266,0.011284531142327676,-1.3026045421906847,0.892593,0.892593,0.4395862053766667,0.28048590608856266,0.011284531142327676,-1.3026045421906847,0.892593,0.892593,303.12801666666667,110.98264059567312,0.16584747359828653,-1.20198742811778,501.611,366.123,47.9423
"PETG_0,3_III_1",0.45460036649354835,0.28794514611909566,-0.009843936149713238,-1.314142694146508,0.915781,0.915781,0.45460036649354835,0.28794514611909566,-0.009843936149713238,-1.314142694146508,0.915781,0.915781,309.762470967742,115.08133302126906,0.15573805302892757,-1.2195435978687432,514.502,379.01399999999995,47.9423
"PETG_0,3_III_1",0.46943307691562497,0.2952226275237981,-0.029470155201619205,-1.321508767608596,0.940018,0.940018,0.46943307691562497,0.2952226275237981,-0.029470155201619205,-1.321508767608596,0.940018,0.940018,316.38287812500005,119.13009202680173,0.14559991874254893,-1.234309693606173,527.658,392.17,47.9423
"PETG_0,3_III_1",0.48409975034242425,0.3023462200601844,-0.04760057875366921,-1.3254351057419647,0.964445,0.964445,0.48409975034242425,0.3023462200601844,-0.04760057875366921,-1.3254351057419647,0.964445,0.964445,323.0155424242424,123.17952967870097,0.13676402336718876,-1.2448050962229864,542.158,406.67,47.9423
"PETG_0,3_III_1",0.49861739886176476,0.30934412301038533,-0.06423148420032815,-1.3265037862615006,0.988551,0.988551,0.49861739886176476,0.30934412301038533,-0.06423148420032815,-1.3265037862615006,0.988551,0.988551,329.7302117647059,127.35212000017547,0.1320029627529146,-1.2474616661470839,559.299,423.811,47.9423
"PETG_0,3_III_1",0.5129697760371429,0.31619128516797174,-0.0798472650842447,-1.3257038749091106,1.01181,1.01181,0.5129697760371429,0.31619128516797174,-0.0798472650842447,-1.3257038749091106,1.01181,1.01181,336.58757142857144,131.75009943689764,0.13308914372098435,-1.2404443764202675,578.377,442.88899999999995,47.9423
"PETG_0,3_III_1",0.5271675600361111,0.32290560443367794,-0.09445891446058227,-1.3233392907884012,1.03406,1.03406,0.5271675600361111,0.32290560443367794,-0.09445891446058227,-1.3233392907884012,1.03406,1.03406,343.6166638888889,136.4174438375694,0.14004578823252198,-1.2246828895783655,599.58,464.09200000000004,47.9423
"PETG_0,3_III_1",0.5411700313864864,0.32942499222083627,-0.10879405972476736,-1.3203857374898786,1.05419,1.05419,0.5411700313864864,0.32942499222083627,-0.10879405972476736,-1.3203857374898786,1.05419,1.05419,350.8594702702703,141.421598747633,0.15336327222132579,-1.2000180236313371,621.377,485.88899999999995,47.9423
"PETG_0,3_III_1",0.5549626621394737,0.33573155294879165,-0.12306623440196217,-1.317079607944745,1.07429,1.07429,0.5549626621394737,0.33573155294879165,-0.12306623440196217,-1.317079607944745,1.07429,1.07429,358.30509473684214,146.73130297199393,0.17097138942899484,-1.1706790337998088,644.158,508.67,47.9423
"PETG_0,3_III_1",0.5685619784948719,0.3418550346370365,-0.13704859168461925,-1.3131960059674126,1.09493,1.09493,0.5685619784948719,0.3418550346370365,-0.13704859168461925,-1.3131960059674126,1.09493,1.09493,365.96893846153847,152.36670387001269,0.19234375475629883,-1.1375666385183818,669.174,533.6859999999999,47.9423
"PETG_0,3_III_1",0.5820232540325,0.34788181195832435,-0.15005721888815482,-1.3081441902384803,1.11762,1.11762,0.5820232540325,0.34788181195832435,-0.15005721888815482,-1.3081441902384803,1.11762,1.11762,373.95439,158.5203387838237,0.22099026412565909,-1.0933940045228636,698.768,563.28,47.9423
"PETG_0,3_III_1",0.5954005405195122,0.3538918948930045,-0.1615465176029505,-1.301604550555199,1.14121,1.14121,0.5954005405195122,0.3538918948930045,-0.1615465176029505,-1.301604550555199,1.14121,1.14121,382.26567317073165,165.18445503308573,0.25479339088662445,-1.0426301054085414,728.111,592.623,47.9423
"PETG_0,3_III_1",0.6087017419357142,0.3598925200523742,-0.1716429502866952,-1.293939442023346,1.1646,1.1646,0.6087017419357142,0.3598925200523742,-0.1716429502866952,-1.293939442023346,1.1646,1.1646,390.909030952381,172.35728962784898,0.29211233596771363,-0.9882211002375159,760.252,624.7639999999999,47.9423
"PETG_0,3_III_1",0.6219341432860466,0.3658902904685368,-0.1804551622783849,-1.2854331381362012,1.1883,1.1883,0.6219341432860466,0.3658902904685368,-0.1804551622783849,-1.2854331381362012,1.1883,1.1883,399.9684813953488,180.20099621537835,0.3351017041651845,-0.9242898173114105,797.564,662.076,47.9423
"PETG_0,3_III_1",0.6350984354840908,0.37188173071045655,-0.18816392729119896,-1.276398289935675,1.212,1.212,0.6350984354840908,0.37188173071045655,-0.18816392729119896,-1.276398289935675,1.212,1.212,409.4723840909091,188.75436645477922,0.3823673449484633,-0.8536018441033533,835.689,700.201,47.9423
"PETG_0,3_III_1",0.6482160258066667,0.37789561867664895,-0.194650770746893,-1.266821151356358,1.23707,1.23707,0.6482160258066667,0.37789561867664895,-0.194650770746893,-1.266821151356358,1.23707,1.23707,419.4677644444444,198.10118570478443,0.4336775414181055,-0.7753952137796039,879.924,744.4359999999999,47.9423
"PETG_0,3_III_1",0.6613260469847826,0.383987212118749,-0.19958388080491565,-1.2565024836558167,1.26307,1.26307,0.6613260469847826,0.383987212118749,-0.19958388080491565,-1.2565024836558167,1.26307,1.26307,430.05832391304347,208.4505239961554,0.4908981511482879,-0.6835630394988903,929.111,793.623,47.9423
"PETG_0,3_III_1",0.6744470459851065,0.39017930141503077,-0.20292863463593902,-1.24553564385537,1.2903,1.2903,0.6744470459851065,0.39017930141503077,-0.20292863463593902,-1.24553564385537,1.2903,1.2903,441.27473191489366,219.83962253645896,0.5516638453028292,-0.5834721518151134,981.455,845.9670000000001,47.9423
"PETG_0,3_III_1",0.6875515658604168,0.39642217450862993,-0.2052803856004432,-1.2346198030003577,1.31364,1.31364,0.6875515658604168,0.39642217450862993,-0.2052803856004432,-1.2346198030003577,1.31364,1.31364,453.0863166666667,232.15316271446653,0.6110969914104408,-0.48820553744373374,1029.96,894.472,47.9423
"PETG_0,3_III_1",0.700605778802041,0.40265892624309246,-0.2072158822047813,-1.22430354939001,1.33786,1.33786,0.700605778802041,0.40265892624309246,-0.2072158822047813,-1.22430354939001,1.33786,1.33786,465.46661632653064,245.2945934323062,0.6663811721096434,-0.40409111627911054,1084.11,948.6219999999998,47.9423
